trial,rhodamine,mount,replicate,conc,protocol,yeast.test,Area,Mean,Int Den,CTCF,CTCF avg,bck,Area,Mean,Int Den
1,B,immuno,1,cont,cont,cont,5514.731,0.644,3551.487,71.691739,148.3665637,1,4883.294,0.631,3081.356
1,B,immuno,2,cont,cont,cont,3978.878,0.654,2601.574,190.373932,NA,2,3918.216,0.606,2372.713
1,B,immuno,3,cont,cont,cont,6308.852,0.644,4062.978,183.03402,NA,3,4789.544,0.615,2946.245
1,B,fluoro,1,cont,cont,cont,3918.216,0.652,2554.699,31.367896,370.8648133,1,3714.171,0.644,2392.704
1,B,fluoro,2,cont,cont,cont,4384.211,0.69,3024.83,258.392859,NA,2,3460.494,0.631,2183.833
1,B,fluoro,3,cont,cont,cont,4348.365,0.82,3566.652,822.833685,NA,3,4003.695,0.631,2527.125
1,B,PBS,1,cont,cont,cont,4309.762,0.748,3224.739,121.71036,882.2256147,1,5294.142,0.72,3814.126
1,B,PBS,2,cont,cont,cont,6675.582,0.879,5865.606,1079.213706,NA,2,5784.953,0.717,4147.767
1,B,PBS,3,cont,cont,cont,5054.251,1.008,5094.922,1445.752778,NA,3,3976.121,0.722,2870.417
1,110,immuno,1,cont,cont,cont,5602.967,2.201,12333.696,2707.798694,3144.730881,1,4169.137,1.718,7160.878
1,110,immuno,2,cont,cont,cont,7334.592,2.223,16304.302,3952.849072,NA,2,4800.573,1.684,8084.595
1,110,immuno,3,cont,cont,cont,6033.116,2.099,12661.822,2773.544876,NA,3,4389.726,1.639,7196.724
1,110,fluoro,1,cont,cont,cont,2467.842,2.241,5530.586,2739.456698,4183.266736,1,3228.875,1.131,3650.752
1,110,fluoro,2,cont,cont,cont,3634.208,2.4,8721.547,4669.40508,NA,2,4284.946,1.115,4779.204
1,110,fluoro,3,cont,cont,cont,4677.87,2.21,10338.052,5140.93843,NA,3,3964.402,1.111,4402.823
1,110,PBS,1,cont,cont,cont,4955.675,7.958,39435.841,33578.23315,25601.75385,1,5086.65,1.182,6013.125
1,110,PBS,2,cont,cont,cont,8929.728,5.454,48699.21,38063.90395,NA,2,3252.313,1.191,3872.03
1,110,PBS,3,cont,cont,cont,7998.428,3.666,29318.377,5163.12444,NA,3,3829.981,3.02,11567.837
1,110,immuno,1,cont,cont,cont,5602.967,2.201,12333.696,2707.798694,3144.730881,1,4169.137,1.718,7160.878
1,110,immuno,2,cont,cont,cont,7334.592,2.223,16304.302,3952.849072,NA,2,4800.573,1.684,8084.595
1,110,immuno,3,cont,cont,cont,6033.116,2.099,12661.822,2773.544876,NA,3,4389.726,1.639,7196.724
1,110,fluoro,1,cont,cont,cont,2467.842,2.241,5530.586,2739.456698,4183.266736,1,3228.875,1.131,3650.752
1,110,fluoro,2,cont,cont,cont,3634.208,2.4,8721.547,4669.40508,NA,2,4284.946,1.115,4779.204
