trial,Rhodamine,replicate,condition,Area,Mean,Int Den,CTCF,CTCF avg,bck,Area,Mean,Int Den
1,110,1,mated,14376.903,48.332,694867.121,693716.9688,552223.0556,1,12110.349,0.08,970.593
1,110,2,mated,11663.656,35.139,409854.8,409434.9084,NA,2,10522.107,0.036,375.002
1,110,3,mated,16103.014,37.47,603372.221,553517.2897,NA,3,14205.947,3.096,43988.251
1,110,1,mated,10108.502,40.147,405823.531,402406.8573,469695.7295,1,5809.769,0.338,1963.244
1,110,2,mated,15344.739,34.254,525625.545,523247.1105,NA,2,25546.991,0.155,3951.305
1,110,3,mated,14228.006,34.001,483760.465,483433.2209,NA,3,21932.085,0.023,493.568
1,110,1,vial,8459.597,8.345,70591.313,68823.25723,67473.22244,1,14294.182,0.209,2994.499
1,110,2,vial,7229.812,9.087,65694.232,62686.63021,NA,2,21424.729,0.416,8922.835
1,110,3,vial,12044.172,15.94,191989.841,70909.77988,NA,3,23043.303,10.053,231657.3
1,110,1,virgin,14070.836,97.665,1374224.062,1343000.877,1075224.606,1,9275.777,2.219,20586.49
1,110,2,virgin,9727.985,88.647,862352.256,847478.1669,NA,2,19411.853,1.529,29677.524
1,110,3,virgin,13116.787,79.073,1037188.526,1035194.774,NA,3,21198.626,0.152,3217.845
2,110,1,cont,12352.997,0.09,1116.733,93.860706,92818.26083,1,15617.718,0.098,1524.823
2,110,2,cont,12739.028,21.189,269924.018,269363.5008,NA,2,10428.356,0.044,454.965
2,110,3,cont,11994.54,0.787,9441.219,8997.42102,NA,3,18529.496,0.037,692.099
2,110,1,vial,38558.998,17.075,658411.993,555960.7353,976534.6713,1,14194.917,2.657,37720.759
2,110,2,vial,48179.446,31.232,1504724.653,1437273.429,NA,2,9099.306,1.4,12741.786
2,110,3,vial,37125.168,28.044,1041137.074,936369.8499,NA,3,14194.917,2.822,40059.005
2,110,1,vial,12821.749,1.061,13604.841,13502.26701,24212.46906,1,16279.486,0.008,137.868
2,110,2,vial,11183.874,0.807,9027.614,8882.223638,NA,2,17448.609,0.013,234.376
2,110,3,vial,26484.495,1.902,50385.339,50252.91653,NA,3,18860.38,0.005,96.508
2,110,1,mated,3722.443,20.36,75788.947,75759.16746,148569.6886,1,9033.129,0.008,74.449
2,110,2,mated,8547.833,22.304,190649.761,190555.7348,NA,2,14594.735,0.011,154.412
2,110,3,mated,8511.987,27.351,232815.394,179394.1636,NA,3,10852.99,6.276,68109.684
2,110,1,mated,10891.594,1.208,13152.633,11050.55536,18437.09154,1,8172.831,0.193,1574.456
2,110,2,mated,15074.517,2.376,35809.905,32146.79737,NA,2,20986.308,0.243,5101.126
2,110,3,mated,9948.575,2.206,21943.114,12113.9219,NA,3,16957.797,0.988,16753.752
